Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"26.12.2025 00:00"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693170;Nordwert:;5335733;"ETRS89 / UTM Zone 32N"

Datum;"Wassertemperatur [°C]";Prüfstatus
"2025-12-01 00:00";6,4;Rohdaten
"2025-12-01 00:15";6,4;Rohdaten
"2025-12-01 00:30";6,4;Rohdaten
"2025-12-01 00:45";6,4;Rohdaten
"2025-12-01 01:00";6,4;Rohdaten
"2025-12-01 01:15";6,4;Rohdaten
"2025-12-01 01:30";6,4;Rohdaten
"2025-12-01 01:45";6,4;Rohdaten
"2025-12-01 02:00";6,4;Rohdaten
"2025-12-01 02:15";6,5;Rohdaten
"2025-12-01 02:30";6,5;Rohdaten
"2025-12-01 02:45";6,5;Rohdaten
"2025-12-01 03:00";6,5;Rohdaten
"2025-12-01 03:15";6,5;Rohdaten
"2025-12-01 03:30";6,5;Rohdaten
"2025-12-01 03:45";6,5;Rohdaten
"2025-12-01 04:00";6,5;Rohdaten
"2025-12-01 04:15";6,5;Rohdaten
"2025-12-01 04:30";6,5;Rohdaten
"2025-12-01 04:45";6,5;Rohdaten
"2025-12-01 05:00";6,5;Rohdaten
"2025-12-01 05:15";6,5;Rohdaten
"2025-12-01 05:30";6,5;Rohdaten
"2025-12-01 05:45";6,5;Rohdaten
"2025-12-01 06:00";6,5;Rohdaten
"2025-12-01 06:15";6,5;Rohdaten
"2025-12-01 06:30";6,5;Rohdaten
"2025-12-01 06:45";6,5;Rohdaten
"2025-12-01 07:00";6,5;Rohdaten
"2025-12-01 07:15";6,4;Rohdaten
"2025-12-01 07:30";6,4;Rohdaten
"2025-12-01 07:45";6,4;Rohdaten
"2025-12-01 08:00";6,4;Rohdaten
"2025-12-01 08:15";6,4;Rohdaten
"2025-12-01 08:30";6,4;Rohdaten
"2025-12-01 08:45";6,4;Rohdaten
"2025-12-01 09:00";6,4;Rohdaten
"2025-12-01 09:15";6,4;Rohdaten
"2025-12-01 09:30";6,4;Rohdaten
"2025-12-01 09:45";6,4;Rohdaten
"2025-12-01 10:00";6,4;Rohdaten
"2025-12-01 10:15";6,4;Rohdaten
"2025-12-01 10:30";6,4;Rohdaten
"2025-12-01 10:45";6,4;Rohdaten
"2025-12-01 11:00";6,4;Rohdaten
"2025-12-01 11:15";6,4;Rohdaten
"2025-12-01 11:30";6,4;Rohdaten
"2025-12-01 11:45";6,4;Rohdaten
"2025-12-01 12:00";6,4;Rohdaten
"2025-12-01 12:15";6,4;Rohdaten
"2025-12-01 12:30";6,4;Rohdaten
"2025-12-01 12:45";6,4;Rohdaten
"2025-12-01 13:00";6,4;Rohdaten
"2025-12-01 13:15";6,4;Rohdaten
"2025-12-01 13:30";6,4;Rohdaten
"2025-12-01 13:45";6,4;Rohdaten
"2025-12-01 14:00";6,4;Rohdaten
"2025-12-01 14:15";6,4;Rohdaten
"2025-12-01 14:30";6,4;Rohdaten
"2025-12-01 14:45";6,4;Rohdaten
"2025-12-01 15:00";6,4;Rohdaten
"2025-12-01 15:15";6,5;Rohdaten
"2025-12-01 15:30";6,5;Rohdaten
"2025-12-01 15:45";6,5;Rohdaten
"2025-12-01 16:00";6,5;Rohdaten
"2025-12-01 16:15";6,5;Rohdaten
"2025-12-01 16:30";6,5;Rohdaten
"2025-12-01 16:45";6,5;Rohdaten
"2025-12-01 17:00";6,5;Rohdaten
"2025-12-01 17:15";6,5;Rohdaten
"2025-12-01 17:30";6,5;Rohdaten
"2025-12-01 17:45";6,5;Rohdaten
"2025-12-01 18:00";6,5;Rohdaten
"2025-12-01 18:15";6,5;Rohdaten
"2025-12-01 18:30";6,6;Rohdaten
"2025-12-01 18:45";6,6;Rohdaten
"2025-12-01 19:00";6,6;Rohdaten
"2025-12-01 19:15";6,6;Rohdaten
"2025-12-01 19:30";6,6;Rohdaten
"2025-12-01 19:45";6,6;Rohdaten
"2025-12-01 20:00";6,6;Rohdaten
"2025-12-01 20:15";6,6;Rohdaten
"2025-12-01 20:30";6,6;Rohdaten
"2025-12-01 20:45";6,7;Rohdaten
"2025-12-01 21:00";6,7;Rohdaten
"2025-12-01 21:15";6,7;Rohdaten
"2025-12-01 21:30";6,7;Rohdaten
"2025-12-01 21:45";6,7;Rohdaten
"2025-12-01 22:00";6,7;Rohdaten
"2025-12-01 22:15";6,7;Rohdaten
"2025-12-01 22:30";6,7;Rohdaten
"2025-12-01 22:45";6,7;Rohdaten
"2025-12-01 23:00";6,7;Rohdaten
"2025-12-01 23:15";6,7;Rohdaten
"2025-12-01 23:30";6,7;Rohdaten
"2025-12-01 23:45";6,7;Rohdaten
"2025-12-02 00:00";6,7;Rohdaten
"2025-12-02 00:15";6,7;Rohdaten
"2025-12-02 00:30";6,7;Rohdaten
"2025-12-02 00:45";6,7;Rohdaten
"2025-12-02 01:00";6,7;Rohdaten
"2025-12-02 01:15";6,7;Rohdaten
"2025-12-02 01:30";6,7;Rohdaten
"2025-12-02 01:45";6,7;Rohdaten
"2025-12-02 02:00";6,7;Rohdaten
"2025-12-02 02:15";6,7;Rohdaten
"2025-12-02 02:30";6,7;Rohdaten
"2025-12-02 02:45";6,7;Rohdaten
"2025-12-02 03:00";6,7;Rohdaten
"2025-12-02 03:15";6,7;Rohdaten
"2025-12-02 03:30";6,7;Rohdaten
"2025-12-02 03:45";6,7;Rohdaten
"2025-12-02 04:00";6,7;Rohdaten
"2025-12-02 04:15";6,7;Rohdaten
"2025-12-02 04:30";6,6;Rohdaten
"2025-12-02 04:45";6,6;Rohdaten
"2025-12-02 05:00";6,6;Rohdaten
"2025-12-02 05:15";6,6;Rohdaten
"2025-12-02 05:30";6,6;Rohdaten
"2025-12-02 05:45";6,6;Rohdaten
"2025-12-02 06:00";6,6;Rohdaten
"2025-12-02 06:15";6,5;Rohdaten
"2025-12-02 06:30";6,5;Rohdaten
"2025-12-02 06:45";6,5;Rohdaten
"2025-12-02 07:00";6,5;Rohdaten
"2025-12-02 07:15";6,5;Rohdaten
"2025-12-02 07:30";6,4;Rohdaten
"2025-12-02 07:45";6,4;Rohdaten
"2025-12-02 08:00";6,4;Rohdaten
"2025-12-02 08:15";6,4;Rohdaten
"2025-12-02 08:30";6,4;Rohdaten
"2025-12-02 08:45";6,4;Rohdaten
"2025-12-02 09:00";6,4;Rohdaten
"2025-12-02 09:15";6,3;Rohdaten
"2025-12-02 09:30";6,3;Rohdaten
"2025-12-02 09:45";6,3;Rohdaten
"2025-12-02 10:00";6,3;Rohdaten
"2025-12-02 10:15";6,3;Rohdaten
"2025-12-02 10:30";6,3;Rohdaten
"2025-12-02 10:45";6,3;Rohdaten
"2025-12-02 11:00";6,3;Rohdaten
"2025-12-02 11:15";6,3;Rohdaten
"2025-12-02 11:30";6,4;Rohdaten
"2025-12-02 11:45";6,4;Rohdaten
"2025-12-02 12:00";6,4;Rohdaten
"2025-12-02 12:15";6,4;Rohdaten
"2025-12-02 12:30";6,4;Rohdaten
"2025-12-02 12:45";6,4;Rohdaten
"2025-12-02 13:00";6,4;Rohdaten
"2025-12-02 13:15";6,4;Rohdaten
"2025-12-02 13:30";6,5;Rohdaten
"2025-12-02 13:45";6,5;Rohdaten
"2025-12-02 14:00";6,5;Rohdaten
"2025-12-02 14:15";6,5;Rohdaten
"2025-12-02 14:30";6,5;Rohdaten
"2025-12-02 14:45";6,5;Rohdaten
"2025-12-02 15:00";6,5;Rohdaten
"2025-12-02 15:15";6,5;Rohdaten
"2025-12-02 15:30";6,5;Rohdaten
"2025-12-02 15:45";6,6;Rohdaten
"2025-12-02 16:00";6,6;Rohdaten
"2025-12-02 16:15";6,6;Rohdaten
"2025-12-02 16:30";6,6;Rohdaten
"2025-12-02 16:45";6,6;Rohdaten
"2025-12-02 17:00";6,6;Rohdaten
"2025-12-02 17:15";6,6;Rohdaten
"2025-12-02 17:30";6,6;Rohdaten
"2025-12-02 17:45";6,6;Rohdaten
"2025-12-02 18:00";6,6;Rohdaten
"2025-12-02 18:15";6,6;Rohdaten
"2025-12-02 18:30";6,6;Rohdaten
"2025-12-02 18:45";6,6;Rohdaten
"2025-12-02 19:00";6,6;Rohdaten
"2025-12-02 19:15";6,6;Rohdaten
"2025-12-02 19:30";6,6;Rohdaten
"2025-12-02 19:45";6,6;Rohdaten
"2025-12-02 20:00";6,6;Rohdaten
"2025-12-02 20:15";6,6;Rohdaten
"2025-12-02 20:30";6,6;Rohdaten
"2025-12-02 20:45";6,6;Rohdaten
"2025-12-02 21:00";6,6;Rohdaten
"2025-12-02 21:15";6,6;Rohdaten
"2025-12-02 21:30";6,6;Rohdaten
"2025-12-02 21:45";6,6;Rohdaten
"2025-12-02 22:00";6,6;Rohdaten
"2025-12-02 22:15";6,6;Rohdaten
"2025-12-02 22:30";6,6;Rohdaten
"2025-12-02 22:45";6,6;Rohdaten
"2025-12-02 23:00";6,6;Rohdaten
"2025-12-02 23:15";6,6;Rohdaten
"2025-12-02 23:30";6,6;Rohdaten
"2025-12-02 23:45";6,6;Rohdaten
