Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"26.12.2025 12:45"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693170;Nordwert:;5335733;"ETRS89 / UTM Zone 32N"

Datum;"Wassertemperatur [°C]";Prüfstatus
"2025-12-26 00:00";4,3;Rohdaten
"2025-12-26 00:15";4,3;Rohdaten
"2025-12-26 00:30";4,2;Rohdaten
"2025-12-26 00:45";4,2;Rohdaten
"2025-12-26 01:00";4,2;Rohdaten
"2025-12-26 01:15";4,2;Rohdaten
"2025-12-26 01:30";4,2;Rohdaten
"2025-12-26 01:45";4,2;Rohdaten
"2025-12-26 02:00";4,2;Rohdaten
"2025-12-26 02:15";4,2;Rohdaten
"2025-12-26 02:30";4,3;Rohdaten
"2025-12-26 02:45";4,3;Rohdaten
"2025-12-26 03:00";4,3;Rohdaten
"2025-12-26 03:15";4,3;Rohdaten
"2025-12-26 03:30";4,3;Rohdaten
"2025-12-26 03:45";4,3;Rohdaten
"2025-12-26 04:00";4,3;Rohdaten
"2025-12-26 04:15";4,3;Rohdaten
"2025-12-26 04:30";4,3;Rohdaten
"2025-12-26 04:45";4,3;Rohdaten
"2025-12-26 05:00";4,3;Rohdaten
"2025-12-26 05:15";4,3;Rohdaten
"2025-12-26 05:30";4,3;Rohdaten
"2025-12-26 05:45";4,3;Rohdaten
"2025-12-26 06:00";4,3;Rohdaten
"2025-12-26 06:15";4,3;Rohdaten
"2025-12-26 06:30";4,3;Rohdaten
"2025-12-26 06:45";4,3;Rohdaten
"2025-12-26 07:00";4,3;Rohdaten
"2025-12-26 07:15";4,3;Rohdaten
"2025-12-26 07:30";4,3;Rohdaten
"2025-12-26 07:45";4,3;Rohdaten
"2025-12-26 08:00";4,3;Rohdaten
"2025-12-26 08:15";4,3;Rohdaten
"2025-12-26 08:30";4,3;Rohdaten
"2025-12-26 08:45";4,3;Rohdaten
"2025-12-26 09:00";4,3;Rohdaten
"2025-12-26 09:15";4,3;Rohdaten
"2025-12-26 09:30";4,3;Rohdaten
"2025-12-26 09:45";4,3;Rohdaten
"2025-12-26 10:00";4,3;Rohdaten
"2025-12-26 10:15";4,3;Rohdaten
"2025-12-26 10:30";4,3;Rohdaten
"2025-12-26 10:45";4,3;Rohdaten
"2025-12-26 11:00";4,3;Rohdaten
"2025-12-26 11:15";4,3;Rohdaten
"2025-12-26 11:30";4,3;Rohdaten
"2025-12-26 11:45";4,3;Rohdaten
"2025-12-26 12:00";4,3;Rohdaten
"2025-12-26 12:15";4,3;Rohdaten
"2025-12-26 12:30";4,3;Rohdaten
"2025-12-26 12:45";;Rohdaten
